Course,Title,CRN,Credits,Max Enrl,Cur Enrl,Remain Seats,Begin Time,End Time,Days,Bldg,Room,Instructor,Comments,Department,Last Taught
ARTS 237, Advanced Photography,10196,3,15,14,1, 09:30, 11:20, T R, WILLMS,415, McDowell W," Prereqs enforced by the system: ARTS  137 and ARTS 138; SART, AHST, ARTE  majors, ARTS, AHST minors, or  instructor permission; Minimum Junior  standing; $170 Lab Fee; Restrictions to  be lifted the Monday following  Registration; Open to Degree and CDE  students.",ART--STUDIO,Spring 2020
ARTS 241, Advanced Sculpture,92931,3,17,10,7, 09:40, 11:30, M W, REMOTE, COURSE, McDevitt M," Prereqs enforced by the system: ARTS  141; Jr standing; Lab fee $45; AHST,  ARTE, SART majors, AHST, ARTS minors  only; Restrictions to be lifted the  Monday following registration",ART--STUDIO,Fall 2020
ARTS 244, Advanced Digital Art,13284,3,15,15,0, 04:25, 06:15, T R, WILLMS,414, Karson J," Prereqs enforced by the system: ARTS  144 or 138 or 145; Lab Fee $80; SART,  AHST, ARTE Majors; ARTS, AHST Minors  only; Restrictions to be lifted the  Monday following Registration; Open to  degree and CDE students",ART--STUDIO,Spring 2019
ARTS 248, Advanced Film/Video Projects,92491,3,15,6,9, 03:30, 05:20, M W, REMOTE, COURSE, Minax M," Prereqs enforced by the system: ARTS  148 or FTS 141; Jr standing; Lab fee  $35; Restrictions: AHST, ARTE, FTS,  SART majors, and AHST, ARTS minors only;  Restrictions to be lifted the Monday  following registration",ART--STUDIO,Fall 2020
ARTS 281, Advanced Studies in Studio Art,15871,3,15,3,12, 05:05, 05:55, F, ONCMP, SEE NOTES, Brennan T, Contact department for location,ART--STUDIO,Spring 2017
ARTS 283, Adv Seminar: Ceramics,10258,3,4,2,2, 01:00, 05:00, W, WILLMS,213, Budington S, Senior standing; SART mjrs only; 3 hrs  200-level ARTS expected; Instructor  permission required; e-mail with any  questions including course capacities;  $30 Lab Fee,ART--STUDIO,Spring 2016
AS 010, D2:TAP: What is Sound?,93642,3,18,18,0, 10:05, 11:20, T R, 481 MN,104, Brennan V, CAS first time first year students only,A&S--INTERDISCIPLINARY,Fall 2016
AS 020, Academic Success Strategies,95733,1,25,17,8, TBA, TBA,, ONLINE, COURSE, Ringler S,,A&S--INTERDISCIPLINARY,Fall 2020
AS 095, Exploring Majors,94994,1,25,22, 1*XL, 04:25, 05:15, T, LAFAYE, L107, Hughes K, CAS first time first year exploratory  students only Instructor Permission  only,A&S--INTERDISCIPLINARY,Fall 2020
AS 096, The Washington Center,96096,3,15,1,14, TBA, TBA,, ONLINE, COURSE, Watts R, Instructor permission required; Open to  Washington Center participants only;  TWC LEAD Professional Development  Colloquium,A&S--INTERDISCIPLINARY,Fall 2020
AS 195, SL: Intern in Social Science,95808,3,15,5,10, 02:15, 03:15, W, LAFAYE, L307, Mares T, Minimum sophomore standing; Instructor  permission required Service Learning  Course,A&S--INTERDISCIPLINARY,Fall 2016
AS 196, The Washington Center,95819,3,9,1,8, TBA, TBA,, ONLINE, COURSE, Watts R, For the Washington Center Academic  Seminar,A&S--INTERDISCIPLINARY,Fall 2020
AS 296, Capstone: Comm News,96078, 1.00-18.00,5,1, 4*XL, TBA, TBA,, ONCMP, SEE NOTES, Watts R, Instructor Permission only CAS students  only Variable credit 1-6,A&S--INTERDISCIPLINARY,Fall 2020
ASCI 001, Introductory Animal Sciences,90006,3,100,89,11, 11:40  07:00, 12:55  08:30, T R  W, BLLNGS  BLLNGS, LH  LH, Townson D  Purdie N, Must register for an ASCI 001 lab; ASCI  first-year students only; Materials  fee: $47; One mandatory Wed seminar 10/  7; 7 - 8:30 pm,ANIMAL--SCIENCES,Fall 2020
ASCI 005, Intro to the Horse,93090,3,79,74, 5*XL, TBA, TBA,, ONLINE, COURSE, Wilkinson J, This section is reserved for degree  students; CDE students should register  for ASCI 005 OLR,ANIMAL--SCIENCES,Fall 2020
ASCI 006, Companion Animal Care & Mgmt,92551,3,79,48,31, TBA, TBA,, ONLINE, COURSE, Jones K  Erickson P," First years, sophomores, and juniors  only",ANIMAL--SCIENCES,Fall 2020
ASCI 007, ABCs of Biosecurity,94947,3,99,8,91, TBA, TBA,, ONLINE, COURSE, Smith J,,ANIMAL--SCIENCES,Fall 2020
ASCI 021, Horse Barn Cooperative,92550,1,18,17,1, 05:05, 05:55, M, REMOTE, COURSE, Rohan C, Instructor permission required; Must  have been accepted into the UVM Horse  Barn Coop or Currently enrolled in ASCI  121 to qualify,ANIMAL--SCIENCES,Fall 2020
ASCI 030, Beginner Horseback Riding,14805,1,4,3,1, 10:50, 11:40, M F, MRC, EQ CTR, Rohan C, Instructor permission required; Fee:  $400,ANIMAL--SCIENCES,Spring 2020
ASCI 038, Understanding & Speaking Dog,13578,3,25,24,1, 06:15, 09:15, W, TERRIL,207, Shaw J, ASCI majors or minors only or  instructor permission,ANIMAL--SCIENCES,Spring 2020
ASCI 043, Intro to Animal Nutrition,14802,3,120,111,9, 11:40, 12:55, T R, LAFAYE, L108, Kraft J, Prereqs enforced by the system: ASCI  001 or BIOL 001 or BCOR 011,ANIMAL--SCIENCES,Spring 2020
ASCI 097, One Health: An Exploration,96153,3,36,24,12, 12:00  TBA, 01:15  TBA, W, REMOTE  ONLINE, COURSE  COURSE, Jones K,,ANIMAL--SCIENCES,Fall 2020
ASCI 098, Understanding & Speaking Dog,14646,3,25,25,0, 06:15, 09:15, W, TERRIL,207, Shaw J, ASCI Major & Minor or Instructor  permission,ANIMAL--SCIENCES,Spring 2018
ASCI 108, Equine Enterprise Management,94863,3,30,10,20, 08:30, 09:45, T R, TERRIL,207, Rohan C, Prereqs enforced by the system: ASCI  001 or ASCI 005 or instructor  permission,ANIMAL--SCIENCES,Fall 2019
ASCI 110," Animal Nutrit, Metab & Feeding",91173,4,60,57,3, 12:00, 12:50, M W F, ML SCI,129, Greenwood S," Must register for a lab, A01-A05;  Sophomore standing or above",ANIMAL--SCIENCES,Fall 2020
ASCI 111, Animal Anatomy,94914,4,108,94,14, 11:40, 12:55, T R, REMOTE, COURSE, Barlow J," Prereqs enforced by the system: BIOL  001 or BCOR 001 and CHEM 31, 32 or CHEM  23, 26; Chem 031 and 032 or Chem 023  and 026 Students must register for Lab  A01-A05 ASCI majors only or instructor  permission If full, please e-mail  npurdie@uvm.edu for wait list",ANIMAL--SCIENCES,Fall 2020
ASCI 117, Horse Health and Disease,92562,3,54,52,2, 10:50, 11:40, M W F, REMOTE, COURSE, Wilkinson J, Prereqs enforced by the system: ASCI  001 or ASCI 005,ANIMAL--SCIENCES,Fall 2020
ASCI 118, Appl Animal Health,12885,3,80,45,35, 10:05, 11:20, T R, TERRIL,108, Erickson P, Prereq enforced by the system: ASCI 001,ANIMAL--SCIENCES,Spring 2020
ASCI 119, Equine Training Techniques,94925,3,10,10,0, 08:00, 11:00, R, MRC-CO,1, Rohan C, Prereqs enforced by the system: ASCI  001 or 005,ANIMAL--SCIENCES,Fall 2020
ASCI 121, Equus,90041, 2.00-4.00,18,16,2, 02:20  TBA, 04:20  TBA, M, ONCMP  ONLINE, SEE NOTES  COURSE, Rohan C, Prereqs enforced by the system: ASCI  001 or 005; or instructor permission;  2-4 variable credits; Minimum sophomore  standing,ANIMAL--SCIENCES,Fall 2020
ASCI 122, Animals in Soc/Animal Welfare,13391,3,85,74,11, 01:10, 02:00, M W F, INNOV, E102, Smith J, ASCI majors or minors; Sophomore  standing or above; or instructor  permission,ANIMAL--SCIENCES,Spring 2020
ASCI 125, Equine Instructing Techniques,14807,2,20,13,7, 10:50, 11:40, W, VOTEY,254, Rohan C, Prereqs enforced by the system: ASCI  001 or 005,ANIMAL--SCIENCES,Spring 2020
ASCI 129, Horse Barn Coop Exec Committee,92737,1,5,4,1, TBA, TBA,, ONCMP, SEE NOTES, Rohan C, Prereqs enforced by the system: ASCI  021; See instructor for more info;  Instructor permission required,ANIMAL--SCIENCES,Fall 2020
ASCI 130, Intermediate Horseback Riding,14808,1,4,3,1, 09:40, 10:30, M F, MRC, EQ CTR, Rohan C, Fee: $400; Instructor permission  required,ANIMAL--SCIENCES,Spring 2020
ASCI 134, CREAM,10312,4,16,16,0, 08:00  06:30, 09:15  08:30, M W  M R, MRC-CO  MRC-CO, 001  001, Wadsworth S, Instructor permission required,ANIMAL--SCIENCES,Spring 2020
ASCI 135, CREAM,90042,4,16,16,0, 08:00  06:30, 09:15  08:30, M W  M R, MRC-CO  MRC-CO, 001  001, Wadsworth S, Instructor permission required,ANIMAL--SCIENCES,Fall 2020
ASCI 141, Anat&Physiol Domestic Animals,11139,4,100,94,6, 11:40, 12:55, T R, INNOV, E102, Zhao F  Purdie N," Prereqs enforced by the system: ASCI  001 or BIOL 001 or BCOR 011;  Recommended: BIOL 002 or BCOR 012 and  Organic Chem; Students must register  for Lab A01-A07; ASCI majors only or  instructor permission; If full, please  e-mail npurdie@uvm.edu for wait list",ANIMAL--SCIENCES,Spring 2020
ASCI 143, Forage and Pasture Mgmnt,94868,4,24,5, 7*XL, 01:10, 04:50, M W, HILLS,17, Bosworth S, Prereqs enforced by the system: BIOL  001/BCOR 011 or BIOL 002/BCOR 012 or  PBIO 004 or 006; Cross listed with PSS  143; Total combined enrollment = 24,ANIMAL--SCIENCES,Fall 2019
ASCI 154, Canine Behavior,13579,3,15,15,0, 06:15, 09:15, M, TERRIL,207, Shaw J, Prereqs enforced by the sysem: ASCI 038;  or instructor permission,ANIMAL--SCIENCES,Spring 2020
ASCI 156, Dairy Management Seminar,90044,2,15,18,-3, 04:35, 06:00, R, REMOTE, COURSE, Finley Woodruf  Townson D," Minimum sophomore standing or, with  instructor permission, any student  interested in dairy industry",ANIMAL--SCIENCES,Fall 2020
ASCI 168, Animal Genetics,10738,3,80,59,21, 02:20, 03:10, M W F, TERRIL,108, McKay S, Prereqs enforced by the system: BIOL  001 or 002 or BCOR 011 or 012; ASCI  majors only; Minimum sophomore standing,ANIMAL--SCIENCES,Spring 2020
ASCI 171," Zoos, Exotics & Endang Species",92968,3,79,49,30, TBA, TBA,, ONLINE, COURSE, Erickson P, Prereqs enforced by the system: ASCI  001; Also::BIO 001 and BCOR 011 or BIO  002 and BCOR 012; Minimum sophomore  standing or instructor permission; Fee:  $7.00,ANIMAL--SCIENCES,Fall 2020
ASCI 177, Animal Plagues & Global Health,14930,3,36,21,15, 03:30, 04:45, M W, TERRIL,207, Barlow J, Prereqs enfoced by the system: BIOL 001  or BCOR 011 and BIOL 002 or BCOR 012,ANIMAL--SCIENCES,Spring 2019
ASCI 181, Animal Science Career Seminar,92561,1,79,92,-13, 06:40, 07:30, W, REMOTE, COURSE, McKay S  Jones K, Please contact dave.townson@uvm.edu for  overrides,ANIMAL--SCIENCES,Fall 2020
ASCI 185, Biochem for Life & Health Sci,94386,3,80,25, -22*XL, 09:40, 10:30, M W F, VOTEY,105, Almstead L, Prereqs enforced by the system: CHEM  042 or CHEM 141 and CHEM 142; Cross  listed w/ NFS 183 A and PBIO 185 A;  Optional lab is PBIO 187 A01 - A07;  Open to degree and CDE students,ANIMAL--SCIENCES,Fall 2017
ASCI 187, Intro to Biochemistry: Lab,93040,1,16,5, 8*XL, 08:30, 11:30, T, JEFFRD,125, Almstead L, For ASCI and NFS majors only; Prereq:  NFS 183 or BIOC 201; Cross listed with  NFS 187 A02; Total combined enrollment  = 16,ANIMAL--SCIENCES,Fall 2019
ASCI 191, EQUUS Advising,96130, 0.50-15.00,10,3,7, TBA, TBA,, ONCMP, SEE NOTES, Rohan C, Contact department for location,ANIMAL--SCIENCES,Fall 2020
ASCI 192, Artifical Insemination,13500,1,25,25,0, TBA  TBA, TBA  TBA, R  F, ONCMP  OFFCMP, SEE NOTES  SEE NOTES, Kinghorn F, This is a two-day course during spring  break Thursday 3/14 all day on campus  and Friday 3/15 all day field trip Fee  $108; 1 Credit,ANIMAL--SCIENCES,Spring 2019
ASCI 196, Field Experience,14953, 0.50-15.00,75,12,63, TBA, TBA,, TBA, TBA, Kinghorn F,,ANIMAL--SCIENCES,Spring 2016
ASCI 208, Equine Industry Issues,14801,3,30,14,16, 08:30, 09:45, T R, TERRIL,308, Rohan C, Prereqs enforced by the system: ASCI  108 or 121 or 122,ANIMAL--SCIENCES,Spring 2019
ASCI 215, Physiology of Reproduction,11145,3,80,77,3, 02:50, 04:05, T R, TERRIL,108, Townson D," Prereqs enforced by the system: ASCI  141 or equivalent, or instructor  permission",ANIMAL--SCIENCES,Spring 2020
ASCI 216, Endocrinology,93263,3,30,15,15, 12:00, 12:50, M W F, ML SCI,105, Zhao F, Prereqs enforced by the system: BIOL  001 or BCOR 011 and ASCI 141 or ANPS 19/  20,ANIMAL--SCIENCES,Fall 2020
ASCI 220, Lactation Physiology,15559,3,35,12,23, 01:10, 02:00, M W F, HILLS,234, Emenheiser J,,ANIMAL--SCIENCES,Spring 2020
ASCI 221, Lameness in Horses,13655,4,20,9,11, 09:40  09:40  10:50, 10:30  10:30  12:50, M F  W  W, TERRIL  MRC  MRC, 207  EQ CTR  EQ CTR, Wilkinson J, Prereq enforced by the system: ASCI 117,ANIMAL--SCIENCES,Spring 2020
ASCI 234, Advanced Dairy Management,10598,15,10,7,3, TBA, TBA,, OFFCMP, SEE NOTES, Ballard C  Townson D," Junior or senior standing Meets at WH  Miner Agricultural Institute in Chazy,  NY",ANIMAL--SCIENCES,Spring 2020
ASCI 252, FARMS Senior Project,91997,4,10,3,7, TBA, TBA,, TBA, TBA, Parsons R, FARMS 2+2 Scholarship Students,ANIMAL--SCIENCES,Fall 2017
ASCI 263, Clin Top:Companion Animal Med,92971,3,29,24,5, TBA, TBA,, ONLINE, COURSE, Erickson P, Prereqs enforced by the system: ASCI  118 and ASCI 141 or Instructor  Permission,ANIMAL--SCIENCES,Fall 2020
ASCI 264, Clin Topics:Livestock Medicine,92997,3,15,15,0, 08:00, 11:00, R, ONCMP, SEE NOTES, Wadsworth S, Junior standing; Location: Miller  Research Complex Classroom; Permission  required,ANIMAL--SCIENCES,Fall 2020
ASCI 265, Clin Topics Equine Med & Surg,94539,3,12,13,-1, 08:30, 11:30, T, REMOTE, COURSE, Wilkinson J, Prereqs enforced by the system: ASCI  117 Note: Class held in Miller Farm  Classroom,ANIMAL--SCIENCES,Fall 2020
ASCI 272," Adv Top:Zoo,Exotic,Endang Spec",12891,3,11,11,0, 09:45, 10:45, W, TERRIL,317, Erickson P, Prereqs enforced by the system: ASCI  171; Instructor permission required;  $175 Fee,ANIMAL--SCIENCES,Spring 2020
ASCI 277, Animal and Human Parasitology,14803,3,35,14,21, 10:05, 11:20, T R, COHEN,208, Purdie N,,ANIMAL--SCIENCES,Spring 2019
ASCI 297, CREAM Advising,94916, 1.00-18.00,2,1,1, TBA, TBA,, MRC-CO,1, Wadsworth S,,ANIMAL--SCIENCES,Fall 2020
ASCI 298, CREAM Advising,13091, 1.00-18.00,2,2,0, TBA, TBA,, MRC-CO,1, Wadsworth S, Credits are variable up to 15;  Instructor permission required,ANIMAL--SCIENCES,Spring 2020
ASCI 301, ASCI Graduate Journal Club,94794,1,12,6,6, TBA, TBA,, TERRIL,317, Kraft J,,ANIMAL--SCIENCES,Fall 2020
ASCI 302, ASCI Graduate Seminar,13092,1,20,12,8, 12:00, 12:50, F, TERRIL,308, Testroet E,,ANIMAL--SCIENCES,Spring 2020
ASCI 322, One Health: Zoonoses,95126,3,4,1, 2*XL, TBA, TBA,, ONLINE, COURSE, Barlow J  Blevins L, Cross listed with PH 322 OL1 & ASCI 297  G; Open to graduate level PH and ASCI  students; Or instructor permission,ANIMAL--SCIENCES,Fall 2017
ASCI 395, Adv Ruminant Nutrition & Prod,94886, 1.00-6.00,10,2,8, 08:30, 11:30, R, ONCMP, SEE NOTES, Greenwood S, Course meets in L/L-B B102,ANIMAL--SCIENCES,Fall 2019
ASL 001, American Sign Language I,90794,4,19,18,1, 11:40  12:00, 12:55  12:50, T R  W, REMOTE  REMOTE, COURSE  COURSE, Donnelly J, Open to Degree and CDE students,AMERICAN--SIGN--LANGUAGE,Fall 2020
ASL 002, American Sign Language II,90797,4,19,22,-3, 02:20  08:30, 03:10  09:45, M  T R, REMOTE  REMOTE, COURSE  COURSE, Brown B, Prereq: ASL 001 or successful  completion of placement interview; Open  to Degree and CDE students,AMERICAN--SIGN--LANGUAGE,Fall 2020
ASL 051, American Sign Language III,90798,4,19,19,0, 04:25  05:05, 05:40  05:55, T R  W, REMOTE  REMOTE, COURSE  COURSE, Lalanne N, Prereq: ASL 002 or successful  completion of placement interview.,AMERICAN--SIGN--LANGUAGE,Fall 2020
ASL 052, American Sign Language IV,93368,4,19,5,14, 09:40  01:15, 10:30  02:30, M  T R, REMOTE  REMOTE, COURSE  COURSE, Lalanne N, Prereqs enforced by the system: ASL 051  or CMSI 051; Or successful placement  interview; Open to Degree and CDE  students,AMERICAN--SIGN--LANGUAGE,Fall 2020
ASL 101, American Sign Language V,93615,3,19,5,14, 12:00, 12:50, M W F, REMOTE, COURSE, Pirone J, Prereqs enforced by the system: ASL 052,AMERICAN--SIGN--LANGUAGE,Fall 2020
ASL 102, American Sign Language VI,15524,3,20,6,14, 12:00, 12:50, M W F, PERKIN,3, Pirone J, Prereq enforced by the system: ASL 101,AMERICAN--SIGN--LANGUAGE,Spring 2020
ASL 120, D2: Understanding Deaf Culture,93058,3,49,22,27, 02:50, 04:05, T R, REMOTE, COURSE, Donnelly J, Open to Degree and CDE students; This  course will have interpreters to  facilitate lecture/discussion for all  students at each class meeting.,AMERICAN--SIGN--LANGUAGE,Fall 2020
ASL 195, American Sign Language III,95855,3,7,4, 0*XL, 11:40, 12:55, T R, JEFFRD,127, Donnelly J, Cross listed with ASL 051 A; Instructor  permission required,AMERICAN--SIGN--LANGUAGE,Fall 2018
ASL 220, ASL Literature,14081,3,20,12,8, 06:00, 07:15, T R, WATERM,401, Lalanne N, Prereq enforced by the system: ASL 051;  Open to Degree and CDE students,AMERICAN--SIGN--LANGUAGE,Spring 2020
ASL 295, ASL Literature,15607,3,20,8,12, 10:05, 11:20, T R, WATERM, 539D, Pirone J, Prerequisite: ASL 002; Open to both CDE  and Degree students,AMERICAN--SIGN--LANGUAGE,Spring 2018
ASTR 005, Exploring the Cosmos,90344,3,247,223, 23*XL, 02:50, 04:05, T R, REMOTE, COURSE, Perry J, Degree students only even after level  restrictions removed; CDE students  register for ASTR 005 ZRA,ASTRONOMY,Fall 2020
ASTR 023, Astr Lab I:Measuring the Sky,90346,1,38,35, 3*XL, TBA, TBA,, ONLINE, COURSE, Perry J  Pepe J, Pre/Co-req: ASTR 005; Degree students  only even after level restrictions are  removed; CDE students enroll in ASTR  023 ZRA,ASTRONOMY,Fall 2020
ASTR 153, Moons & Planets,14752,3,25,29,-4, 06:00, 07:15, T R, HILLS,234, Perry J, Prereqs enforced by the system: ASTR  005; Additionally MATH 010 or  equivalent,ASTRONOMY,Spring 2019
ASTR 155, The Big Bang,93257,3,35,24,11, 11:40, 12:55, T R, REMOTE, COURSE, Perry J, Prereqs enforced by the system: ASTR  005,ASTRONOMY,Fall 2020
ASTR 157, Stars & Galaxies,95045,3,35,13,22, 06:00, 07:15, T R, LAFAYE, L311, Perry J, Prereqs enforced by the system: ASTR  005;,ASTRONOMY,Fall 2019
ASTR 177, Spacecraft Astronomy,15026,3,35,18,17, 06:00, 07:15, T R, LAFAYE, L311, Perry J, Prereqs enforced by the system: ASTR  005,ASTRONOMY,Spring 2020
ASTR 195, Intermediate Special Topics,95403,3,10,1,9, TBA, TBA,, TBA, TBA, Clougherty D,,ASTRONOMY,Fall 2016
AT 155, Emergency Med. Response in AT,91975,3,22,21,1, 01:10  02:20, 02:00  03:10, M W  M W, ROWELL  ROWELL, 003A  003A, Vreeland K, Lecture/Lab; AT majors only; 1st year  only; Lab fee: $56,ATHLETIC--TRAINING,Fall 2017
AT 158, Fundamentals of Athletic Trng,11039,4,22,21,1, 10:05  11:40, 11:20  12:55, T R  T R, ROWELL  ROWELL, 003B  003B, Vreeland K, AT Year 1 Lab fee of $58.07,ATHLETIC--TRAINING,Spring 2018
AT 159, Practicum in Athletic Trng I,90598,1,20,15,5, 08:00  TBA, 10:30  TBA, F, ROWELL  ROWELL, 003A  003B, Vreeland K, AT 2nd Years only; Meets in Rowell  003A-003B; HIPAA/OSHA training fee -  $11.00; Immunization tracking fee - $20,ATHLETIC--TRAINING,Fall 2018
AT 160, Practicum in Athletic Trng II,11453,1,16,15,1, 09:40, 11:40, F, ROWELL, 003A, Vreeland K, AT majors; Sophomore students only,ATHLETIC--TRAINING,Spring 2019
AT 161, Practicum in Athletic Trng III,90548,1,20,13,7, 08:30, 09:45, T R, ROWELL, 003A, Tourville T, AT majors only; HIPAA/OSHA training  fee: $11.00,ATHLETIC--TRAINING,Fall 2019
AT 162, Practicum in Athletic Trng IV,15183,1,13,13,0, 08:00, 10:30, W, ROWELL,26, Tourville T, AT Juniors only,ATHLETIC--TRAINING,Spring 2020
AT 168, Directed Obsv. in Athl Trng,14444,1,5,9,-4, TBA, TBA,, ONLINE, COURSE, Vreeland K, Open to Degree and CDE students.,ATHLETIC--TRAINING,Spring 2020
AT 169, Clinical Experience in AT I,91677,1,20,14,6, TBA, TBA,, ONLINE, COURSE, Vreeland K, AT 2nd Years only; Student Liability  Insurance fee $17.00,ATHLETIC--TRAINING,Fall 2018
AT 170, Clinical Experience in AT II,11458,1,16,13,3, TBA, TBA,, ONLINE, COURSE, Vreeland K, Online clinical experience; AT majors;  Sophomore students only,ATHLETIC--TRAINING,Spring 2019
AT 171, Clinical Experience in AT III,91530,1,20,13,7, TBA, TBA,, OFFCMP, SEE NOTES, Tourville T, AT majors only; Student Liability  Insurance fee: $17.00; Contact  Department for Location,ATHLETIC--TRAINING,Fall 2019
AT 172, Clinical Experience in AT IV,11335,1,13,13,0, TBA, TBA,, ONLINE, COURSE, Tourville T, Online clinical experience; AT Juniors  Only,ATHLETIC--TRAINING,Spring 2020
AT 173, Clinical Experience in AT V,91398, 6.00-12.00,16,12,4, TBA, TBA,, OFFCMP, SEE NOTES, Tourville K, AT Seniors only; Student liability  insurance fee $15.00; Contact  Department for location; Variable 6-12  Credits;,ATHLETIC--TRAINING,Fall 2020
